video_url,video_title,video_length_seconds,interior_frames,exterior_frames,file_prefix
https://www.youtube.com/watch?v=9hYaoz-Dbs0,Getaway Cars | Top Gear | BBC,479,8,61,top_gear_
https://www.youtube.com/watch?v=tLQ_AulO0Ag,HOW IT'S MADE: Airplanes,511,39,30,planes_
https://www.youtube.com/watch?v=uh56ESOVYdQ,28hrs on World’s Most Luxurious Train: The Venice Simplon Orient Express,1400,149,43,orient_express_
https://www.youtube.com/watch?v=FtlF-6TnMuo,THIS IS THE MOST EXPENSIVE PLANE TICKET IN THE WORLD | Etihad A380 The Residence,465,63,0,first_class_
https://www.youtube.com/watch?v=0StWrXoN8nI,Inside a Nuclear SUBMARINE! | USS Indiana Tour,1961,74,21,submarine_
https://www.youtube.com/watch?v=4BWXryYnG2A,Modern Farmhouse San Jose Home Tour | A 700 SqFt Luxury ADU Epitome of Style and Functionality!,1043,116,24,san_jose_
https://www.youtube.com/watch?v=8d6OCgqmHbg,SAFARI in Tanzania was NOT what I expected! (Tarangire & Serengeti),1011,7,108,safari_
https://www.youtube.com/watch?v=ZXHJaifTiVo,An Explosive Viewer Special | MythBusters | Season 5 Episode 16 | Full Episode,2908,35,110,explosive_
https://www.youtube.com/watch?v=15STU4dGojE,Back Street 1932,5127,40,28,back_street_
https://www.youtube.com/watch?v=5KTSd2jGYHo,How to Spend 14 Days in Iceland - A Road Trip Itinerary,1741,9,117,iceland_
https://www.youtube.com/watch?v=yhB3BgJyGl8,7 Days Stranded At Sea,1084,7,66,raft_
https://www.youtube.com/watch?v=Cyya23MPoAI,climbing with Alex Honnold **Insane experience**,2082,0,79,climbing_
https://www.youtube.com/watch?v=7IKab3HcfFk,I Survived 50 Hours In Antarctica,729,18,79,antarctica_
https://www.youtube.com/watch?v=FryCzL17YRs,Visiting the World’s Most Daпgeгous Road: Karakoram D℮ath Road (There are casualties!),1374,7,126,pakistan_
https://www.youtube.com/watch?v=aN9DH_GxqEo,Inside the MOST EXPENSIVE and HIGHEST Penthouse In the WORLD!,1706,183,34,manhattan_
https://www.youtube.com/watch?v=spAeuJzipVo,BIGGEST SUPERMARKET IN LONDON | How Much Will It Cost?,1220,88,0,supermarket_
https://www.youtube.com/watch?v=X9LSrboamF8,"WOW PRIMARK! Primark Shop With Me May 2024 | New In Fashion, Shoes, Beauty & More!",1880,105,0,primark_
https://www.youtube.com/watch?v=SI2xgLRueEI,House tour in India | Najma Cheema,422,52,20,india_
